sangat bermanfaat dalam transaksi gratis transfer bisa cek oblihat reksa dana jadi lebih mudah cek aset saham kita pakai aplikasi jago memang mantap sudah	3,4 TRANSACTION_TRANSFER 2 1,2	5,6 TRANSACTION_TRANSFER 2 -1,-1	9,11 FEATURES_PRODUCT 2 -1,-1	16,17 FEATURES_PRODUCT 2 22,23
insyaallah lancar	-1,-1 FEATURES_PRODUCT 2 1,2
sudah lunas bayar kredit jago dana cepat dengan tenor 6bln	3,4 FEATURES_PRODUCT 2 -1,-1	8,9 INTEREST_RETURNS 2 6,7
aplikasi sudah bagus	-1,-1 FEATURES_PRODUCT 2 2,3
mohon untuk tambahan fitur tampilkan qris pembayaran agar bisa scan saat melakukan transaksi dari kasir di minimarket	3,4 FEATURES_PRODUCT 2 -1,-1	5,6 TRANSACTION_TRANSFER 2 -1,-1	6,7 TRANSACTION_TRANSFER 2 -1,-1	12,13 TRANSACTION_TRANSFER 2 -1,-1
sampah	-1,-1 FEATURES_PRODUCT 0 0,1
hapus akun tidak bisa	0,2 ACCOUNT_MANAGEMENT 0 2,4
hapus dari gopay juga tidak bisa	2,3 TRANSACTION_TRANSFER 0 4,6
masih sering muncul notifikasi nya setiap ingin login	3,4 NOTIFICATION_INFO 0 -1,-1	7,8 AUTH_ACCESS 0 -1,-1
perbaiki dong bug nya	-1,-1 APP_PERFORMANCE 0 2,3
sumpah aplikasi ini buruk sangat tidak mengerti lagi	-1,-1 FEATURES_PRODUCT 0 3,4
mau klik lupa password terus sudah memasuki email dan nik semuanya dan tuntas	2,4 AUTH_ACCESS 0 -1,-1	9,10 ONBOARDING_KYC 0 -1,-1
eh pas login tidak bisa masuk katanya pasword salah	2,3 AUTH_ACCESS 0 3,5
aku coba berkali kali tetap saja akhirnya akun aku ke blokir 1 jam	10,11 AUTH_ACCESS 0 -1,-1
tidak bisa transfer unag	2,3 TRANSACTION_TRANSFER 0 0,2
selalu gagal	-1,-1 APP_PERFORMANCE 0 1,2
costumer layan nya lambat respon	4,5 CUSTOMER_SERVICE 0 3,4
sulit terdaftar	-1,-1 FEATURES_PRODUCT 0 0,1
enggak bisa login	2,3 AUTH_ACCESS 0 -1,-1
tolong nomor ponsel aku sudah tidak aktif bagimana cara mengganti iya	5,7 ACCOUNT_MANAGEMENT 1 -1,-1
aku belum masuk aplikasi	1,3 TRANSACTION_TRANSFER 0 1,3
ada kendalahh knpaa nomor saya sudah benar sama sandinnya juga sudah benar tetap ajahh tidak bisa masuk tidak mungkin saya lupaa baru ajahh saya bikinn	-1,-1 FEATURES_PRODUCT 0 14,16
admin bagaimana nih kendala terus	0,1 CUSTOMER_SERVICE 0 3,4
baut akun baru pun juga ada kendala	1,3 ONBOARDING_KYC 0 6,7
bug tidak pernah hilang parah setiap mau masuk stak layar tidak bisa bergerak ini ponsel apapun sama tidak jelas	-1,-1 APP_PERFORMANCE 0 4,5
sangat membantu dan mudah di gunakan untuk transaksi	7,8 TRANSACTION_TRANSFER 2 3,4
sudah 10 ganti password yang berbeda	3,4 AUTH_ACCESS 0 -1,-1
hasil tetap salah sandi	3,4 AUTH_ACCESS 0 -1,-1
hal hasil akun terkunci	3,4 AUTH_ACCESS 0 -1,-1
tolong diperbaiki bugg tersebut	-1,-1 FEATURES_PRODUCT 0 0,2
orang yang sedang urgent pun kesusahan menarik uang	-1,-1 UI_UX_DESIGN 2 6,7
admin mau ganti nomor ponsel soal nya nomor sama ponsel yang dulu hilang admin bagaimana pas masuk jago tidak ada filtur pusat bantuan	0,1 CUSTOMER_SERVICE 0 12,13	2,4 ACCOUNT_MANAGEMENT 0 -1,-1	22,23 CUSTOMER_SERVICE 0 -1,-1
aplikasi ini sangat luar biasa	-1,-1 FEATURES_PRODUCT 2 3,5
aku suka sangat bertransaksi dengan mnggunakan bank jago ini bagus bagus bagus	-1,-1 FEATURES_PRODUCT 2 1,2
bank yang bagus untuk transaksi	4,5 TRANSACTION_TRANSFER 2 2,3
bagus atas steam pendingnya lama	-1,-1 FEATURES_PRODUCT 0 0,1
sangat membantu disaat tidak ada uang	-1,-1 FEATURES_PRODUCT 2 0,2
salah satu bank digital paling nyaman saat dipakai melakukan berbagai transaksi	10,11 TRANSACTION_TRANSFER 2 5,6
simple praktis mudah dipakai dan garing dengan berbagai fitur - fitur yang terdapat didalam nya	8,9 FEATURES_PRODUCT 2 2,4
terkadang apps - nya agak sulit dibuka iya itu pas pada saat koneksi internet lagi kurang stabil	-1,-1 FEATURES_PRODUCT 0 16,17
terkadang loading lambat sangat dan hanya berputar - putar saja	1,2 APP_PERFORMANCE 0 2,3
saran dan masukan agar yang error dibenahi lagi	-1,-1 APP_PERFORMANCE 0 5,6
apa foto melulu data sudah lengkap awas data aku di pergunakan yang tidak benar	-1,-1 FEATURES_PRODUCT 1 5,6
bagaimana cara aku login akun saya	3,4 AUTH_ACCESS 0 -1,-1
yang nomornya sudah tidak aktif lagi	3,5 ACCOUNT_MANAGEMENT 0 -1,-1
pilihan verivikasi hanya via sms dan whatsapp	6,7 CUSTOMER_SERVICE 0 -1,-1
minn tambahkan kantor cabang di kota padang dong	3,4 ACCOUNT_MANAGEMENT 2 -1,-1
akun aku diblokir dengan alasan keamanan	2,3 AUTH_ACCESS 0 2,3	5,6 SECURITY_FRAUD 0 -1,-1
aku tidak mendapat penjelasan aktivitas apa yang dianggap bermasalah	-1,-1 FEATURES_PRODUCT 0 8,9
seharusnya pengguna diberi informasi yang lebih jelas agar bisa memahami dan menyelesaikannya	-1,-1 FEATURES_PRODUCT 1 6,7
karena yang sekarang manfaat jago syariah terasa kurang hanya gratis 20x transfer dan 3x tarik tunai	11,12 TRANSACTION_TRANSFER 0 9,10	14,16 TRANSACTION_TRANSFER 0 -1,-1
sebelumnya bisa gratis 100x dengan level akun	-1,-1 FEES_CHARGES 2 2,3
sekarang hanya di kasih pilihan bayar 5k untuk tambahan 10x gratis transfer	11,12 TRANSACTION_TRANSFER 2 10,12
nik sudah terdaftar di akun lain	0,1 ONBOARDING_KYC 2 -1,-1
nomor ponsel hilang	-1,-1 FEATURES_PRODUCT 0 2,3
aplikasi mbanking tidak jelas sudah 2 hari lebih tidak bisa qris dan transfer mana pelayan customer layan tidak membantu sama sekali	10,11 TRANSACTION_TRANSFER 0 8,10	12,13 TRANSACTION_TRANSFER 0 18,19
kenaoa laporan aku tidak ada perkembangan proses ya	1,2 CUSTOMER_SERVICE 0 -1,-1
sampai saat ini akun aku terblokir tanpa sebab yang pasti	5,6 AUTH_ACCESS 0 5,6
tolong segera respon	2,3 CUSTOMER_SERVICE 0 -1,-1
banyak yang lagi mengeluhkan soal pelayanan yang lambat kalau lagi ada masalah	5,6 CUSTOMER_SERVICE 0 7,8
dan banyak pengguna di blokir akunnya secara tiba - tiba	4,5 AUTH_ACCESS 0 -1,-1
sulit login	1,2 AUTH_ACCESS 0 0,1
koneksi internet wifi lancar	-1,-1 FEATURES_PRODUCT 2 3,4
mulai 1 oktober 2026 akan mulai ditagih biaya preman rp100 bulan apabila status kantong utama tidak aktif	7,8 FEES_CHARGES 1 -1,-1	13,14 FEATURES_PRODUCT 1 -1,-1	15,17 ACCOUNT_MANAGEMENT 1 -1,-1
terbaik yang sangat direkomendasikan sangat aplikasi menjadi pakai dan tidak ribet	-1,-1 UI_UX_DESIGN 2 3,4
bebas iklan buka toko lilin cepat bila dijalankan dan mengakses setiap fitur2nya	1,2 PROMO_MARKETING 2 5,6
ketika dipakai terkadang agak sulit membukanya yaitu pas pada saat koneksi internet lagi kurang stabil	-1,-1 FEATURES_PRODUCT 0 14,15
terkadang loading lambat sangat dan hanya berputar - putar saja	1,2 APP_PERFORMANCE 0 2,3
mungkin cuma itu saja hal yang pernah terjadi di aplikasi ini dan yang lain sesuai pengalaman transaksi sukses	16,17 TRANSACTION_TRANSFER 2 17,18
saran dan masukan untuk kedepannya yang error dibenahi	-1,-1 APP_PERFORMANCE 0 6,7
asli bingung waktu lupa pin	3,5 AUTH_ACCESS 1 -1,-1
karena ponsel hilang	-1,-1 FEATURES_PRODUCT 0 2,3
tidak bisa disetujui	-1,-1 FEATURES_PRODUCT 0 0,2
aplikasi banyak manfaat dan tidak ribet	-1,-1 UI_UX_DESIGN 2 5,6
semoga semakin berkembang dan banyak lagi fitur lain yang bagus	6,7 FEATURES_PRODUCT 2 9,10
tidak bisa login aneh	0,3 AUTH_ACCESS 0 0,2
jaringan bagus	-1,-1 FEATURES_PRODUCT 2 1,2
saya kirim uang ke jago untuk setor gopay	1,3 TRANSACTION_TRANSFER 0 -1,-1	7,8 TRANSACTION_TRANSFER 0 -1,-1
tidak bisa	-1,-1 FEATURES_PRODUCT 0 0,2
saya transfer balek ke rekening yang dibuat transfer juga tidak bisa	1,2 TRANSACTION_TRANSFER 0 9,11
bahkan stuck logo	1,2 APP_PERFORMANCE 0 1,2
tidak ada notifikasi aplikasi pemeliharaan atau apa	0,3 NOTIFICATION_INFO 0 -1,-1	4,5 APP_PERFORMANCE 0 -1,-1
nabung dari gopay masuk ke nomor lama dan vertifikasi masuk ke nomor lama yang sudah tidak aktif	2,3 TRANSACTION_TRANSFER 0 6,7	15,17 ACCOUNT_MANAGEMENT 0 6,7
sempat terblokir lumayan lama	1,2 AUTH_ACCESS 0 1,2
bagus suka dan sekedar masukan	-1,-1 FEATURES_PRODUCT 2 0,1
sulit harus verifikasi 2 langkah sdgkan ponsel saya yang hold bank jago pertama rusak	2,3 ONBOARDING_KYC 0 0,1
sudah ganti password banyak lagi cincongnya	2,3 AUTH_ACCESS 0 -1,-1
sulit sangat login nya	2,3 AUTH_ACCESS 0 0,1
sumpah klik lupa password saja di komen email nomor telepon salah	2,4 AUTH_ACCESS 0 -1,-1	9,10 CUSTOMER_SERVICE 0 -1,-1
kecewa	-1,-1 FEATURES_PRODUCT 0 0,1
semoga aplikasi jujur dan amanah serta bertanggung jawab dan respon cepat jika dibutuhkan	9,10 CUSTOMER_SERVICE 2 10,11
aplikasi tidak bisa digunakan	-1,-1 FEATURES_PRODUCT 0 1,3
bagus atas kantong cepat giliran mau dipakai bahkan gangguan melulu	2,3 FEATURES_PRODUCT 2 0,1	8,9 APP_PERFORMANCE 2 -1,-1
ini scam ya	1,2 SECURITY_FRAUD 0 -1,-1
tampilkan notifikasi saja hang	1,2 NOTIFICATION_INFO 0 -1,-1	3,4 APP_PERFORMANCE 0 3,4
cari kontak loading terus sampai timeout	2,3 APP_PERFORMANCE 0 2,4
tip cara pakai harusnya tidak tampil terus bahkan bahkan sampai di halaman berbeda tooltips masih muncul terus	11,12 UI_UX_DESIGN 0 -1,-1
isi kantong lancar hanya mau terima tidak bisa dipakai	1,2 FEATURES_PRODUCT 0 6,8
bank daring paling mudah keluar masuk tidak rumit seperti bank daring lainya seperti tahi	-1,-1 UI_UX_DESIGN 2 3,4
terlalu rumit bagi kaum awam kalau lupa password	6,8 AUTH_ACCESS 0 1,2
nomer whatsapp sudah tidak aktif	1,2 CUSTOMER_SERVICE 0 -1,-1	3,5 ACCOUNT_MANAGEMENT 0 -1,-1
pegang ktp sama scan wajah pemilik kan bisa	1,2 ONBOARDING_KYC 0 -1,-1	4,5 AUTH_ACCESS 0 -1,-1
tolong dibantu jangan sampai pengguna aplikasi jago jadi dirugikan admin terimakasih	9,10 CUSTOMER_SERVICE 0 -1,-1
aplikasi sangat membantu	-1,-1 FEATURES_PRODUCT 2 1,3
akun tiba - tiba ke blokir enggak jelas jangan unduh	5,6 AUTH_ACCESS 1 7,8
pertama lupa password dan ikut prosedur perbaiki dan ganti password baru	1,3 AUTH_ACCESS 0 -1,-1	2,3 AUTH_ACCESS 0 6,7
tetap tidak bisa login ke akun	1,4 AUTH_ACCESS 0 1,3
admin solusi nya bagaimana	0,1 CUSTOMER_SERVICE 2 1,2
aku uninstall karena tidak bisa pengajuan pinjaman	5,6 ONBOARDING_KYC 0 3,5	6,7 FEATURES_PRODUCT 0 -1,-1
salah satu bank digital terbaik di era masa kini yang mampu memberikan kepuasan dan kenyamanan bagi para pengguna nya	-1,-1 FEATURES_PRODUCT 2 4,5
simple praktis mudah dipakai dan tidak rumit dengan berbagai fitur yang terdapat di dalamnya membuat kita semakin mudah dan mudah ketika mengoperasikan nya	9,10 FEATURES_PRODUCT 2 6,7
walau terkadang aplikasi naga sulit dibuka dan dioperasikan yaitu pada saat koneksi internet lagi kurang stabil	-1,-1 FEATURES_PRODUCT 0 4,5
terkadang loading lambat sangat dan hanya berputar - putar saja	1,2 APP_PERFORMANCE 0 2,3
dana pinjaman bunga terlalu besar dan sulit cair nya	1,2 FEATURES_PRODUCT 0 -1,-1	2,3 INTEREST_RETURNS 0 6,7
aplikasi kagak jelas dipakai saja kagak masak kena tagihan bulanan 10k	8,9 TRANSACTION_TRANSFER 1 2,3
tolong aktifkan menu pinjaman saya	2,3 UI_UX_DESIGN 2 -1,-1	3,4 FEATURES_PRODUCT 2 -1,-1
sebagai pelanggan lama aku percaya jago	-1,-1 FEATURES_PRODUCT 1 2,3
enggak tau kenapa dulu awal menyimpan uang di sini aman saja	-1,-1 SECURITY_FRAUD 2 9,10
sekarang kok sering ada transaksi di luar kendali aku	4,5 TRANSACTION_TRANSFER 0 -1,-1
tidak ada tagihan sedikitpun	2,3 TRANSACTION_TRANSFER 0 -1,-1
bank jago bagus	-1,-1 FEATURES_PRODUCT 2 2,3
tolong kalau login aplikasi di perbaiki soalnya aga lama	2,3 AUTH_ACCESS 0 8,9
sama semoga kedepannya tambah banyak kcp nya biar kita kalau ada masalah mudah terimakasih	-1,-1 UI_UX_DESIGN 2 12,13
hasil terbaik aplikasi ini mudah dipakai dan tidak ribet	-1,-1 UI_UX_DESIGN 2 1,2
cepat bila dijalankan dan mengakses setiap fitur2nya	-1,-1 FEATURES_PRODUCT 2 0,1
yang disayangkan pernah juga ketika dipakai terkadang agak sulit membukanya yaitu pos pada saat koneksi internet lagi kurang stabil	-1,-1 FEATURES_PRODUCT 0 18,19
terkadang loading lambat sangat dan hanya berputar - putar saja	1,2 APP_PERFORMANCE 0 2,3
mungkin cuma itu saja hal yang biasa terjadi di aplikasi dan yang lain sesuai pengalaman transaksi sukses	15,16 TRANSACTION_TRANSFER 2 16,17
saran dan masukan untuk kedepannya agar yang gangguan segera diperbaiki semuanya	7,8 APP_PERFORMANCE 2 -1,-1
mudah cepat aman	-1,-1 UI_UX_DESIGN 2 2,3
asli terbaik iya appsnya	-1,-1 FEATURES_PRODUCT 2 1,2
mudah digunakan dan tidak ribet	-1,-1 UI_UX_DESIGN 2 0,2
bebas iklan buka toko lele cepat bila dijalankan dan mengakses setiap fitur2nya	1,2 PROMO_MARKETING 2 5,6
bangunin disayangkan pernah juga ketika dipakai terkadang agak sulit dibuka yang dioperasikan yaitu pas pada saat koneksi internet lain kurang stabil	-1,-1 FEATURES_PRODUCT 0 20,21
terkadang larinya lambat sangat dan hanya berputar - putar saja	-1,-1 APP_PERFORMANCE 0 2,3
mungkin cuma itu saja hal yang biasa terjadi di atasnya dan yang lain sesuai pengalaman transaksi sukses terimakasih	15,16 TRANSACTION_TRANSFER 2 16,17
aplikasi bagus untuk keamanannya	-1,-1 FEATURES_PRODUCT 2 1,2
bagus	-1,-1 FEATURES_PRODUCT 2 0,1
sayang tidak ada fitur untuk pinjam dana	3,4 FEATURES_PRODUCT 2 -1,-1
admin tolong cepat di respon	0,1 CUSTOMER_SERVICE 2 2,3	4,5 CUSTOMER_SERVICE 2 -1,-1
ponsel dan ktp aku hilang jadi whatsapp aku juga tidak bisa dipake	2,3 ONBOARDING_KYC 0 4,5	6,7 CUSTOMER_SERVICE 0 9,11
login bank jago syariah kenapa meminta verifikasi whatsapp	0,1 AUTH_ACCESS 1 -1,-1	6,7 ONBOARDING_KYC 1 -1,-1	7,8 CUSTOMER_SERVICE 1 -1,-1
sudah verifikasi wajah	1,3 ONBOARDING_KYC 1 -1,-1
lebih simpel dan mudah untuk penggunanya	-1,-1 UI_UX_DESIGN 2 3,4
bagus sangat sumpah bank jago bisa untuk aktivasi paypal	7,8 ONBOARDING_KYC 2 -1,-1
sangat respek fitur nya mantap	2,3 FEATURES_PRODUCT 2 4,5
sangat bermanfaat aplikasi nih trimakasih suka	-1,-1 FEATURES_PRODUCT 2 1,2
sangat bagus transaksi cepat aku suka	2,3 TRANSACTION_TRANSFER 2 3,4
yeay dapat bonus	2,3 INTEREST_RETURNS 2 -1,-1
terbantu sangat yk jadi masalah tidak bisa pinjam uang	-1,-1 FEATURES_PRODUCT 2 5,7
dapatkan berbagai keuntungan dengan membuka tabungan di bank satu ini	2,3 INTEREST_RETURNS 2 -1,-1	5,6 FEATURES_PRODUCT 2 -1,-1
simple praktis mudah dipakai dan tidak ribet	-1,-1 UI_UX_DESIGN 2 2,4
jadi sangat nyaman ketika menjelajahi setiap detail menu2 yang terdapat didalamnya	-1,-1 FEATURES_PRODUCT 2 2,3
walau terkadang aplikasi ini sulit dibuka dan di operasi kan pas pada saat koneksi internet lagi kurang stabil	-1,-1 FEATURES_PRODUCT 0 4,5
mungkin cuma itu saja hal yang pernah terjadi di aplikasi ini dan yang lain sesuai pengalaman transaksi sukses	16,17 TRANSACTION_TRANSFER 2 17,18
saran dan masukan untuk kedepannya agar yang error segera dibenahi semuanya	-1,-1 APP_PERFORMANCE 0 7,8
karena tidak bisa untuk anak kecil	-1,-1 FEATURES_PRODUCT 0 1,3
sangat membantu	-1,-1 FEATURES_PRODUCT 2 0,2
terimakasih jagoanku telah memberikan reward 50rb sebagai jasa reverar setiap	4,5 INTEREST_RETURNS 2 -1,-1
terbaik dan sangat responsif iya appsnya	-1,-1 FEATURES_PRODUCT 2 3,4
mudah di pakai dan tidak ribet	-1,-1 UI_UX_DESIGN 2 5,6
bebas iklan buka toko lele cepat bila dijalankan dan mengakses setiap fitur - fitur nya	1,2 PROMO_MARKETING 2 5,6	11,12 FEATURES_PRODUCT 2 -1,-1
yang disayangkan pernah juga ketika dipakai terkadang agak sulit membukanya yaitu pada saat koneksi internet lagi kurang stabil	-1,-1 FEATURES_PRODUCT 0 17,18
terkadang begini lambat sangat dan hanya berputar - putar saja	-1,-1 APP_PERFORMANCE 0 2,3
mungkin cuma itu saja hal yang biasa terjadi di aplikasi ini yang lain sesuai pengalaman transaksi sukses	15,16 TRANSACTION_TRANSFER 2 16,17
overall bagus semua hanya kenapa harus di pembaruan terus perasaan tiap bulan	7,8 APP_PERFORMANCE 2 1,2
jago memang bagus dah	-1,-1 FEATURES_PRODUCT 2 2,3
bagus aku login ulang	2,3 AUTH_ACCESS 2 0,1
kan aku hanya login di satu hp	3,4 AUTH_ACCESS 0 -1,-1
mskin rumit	-1,-1 UI_UX_DESIGN 0 1,2
suka sama bank satu ini dalam mengelola keuangan	-1,-1 FEATURES_PRODUCT 2 0,1
asli berguna sangat iya appsnya	-1,-1 FEATURES_PRODUCT 2 1,2
harga dipakai dan tidak ribet	-1,-1 UI_UX_DESIGN 2 4,5
bebas iklan buka toko lele cepat bila dijalankan dan mengakses setiap fitur2nya	1,2 PROMO_MARKETING 2 5,6
yang disayangkan pernah juga ketika dipakai terkadang agak sulit membukanya yaitu pada saat koneksi internet kurang stabil	-1,-1 FEATURES_PRODUCT 0 16,17
terkadang loading lambat sangat dan hanya berputar - putar saja	1,2 APP_PERFORMANCE 0 2,3
mungkin cuma itu saja hal yang biasa terjadi di aplikasi ini dan yang lain sesuai pengalaman transaksi ok	16,17 TRANSACTION_TRANSFER 2 -1,-1
cara memasukkan untuk kedepannya yang gangguan dibenahi	5,6 APP_PERFORMANCE 2 -1,-1
bagus bank jago	-1,-1 FEATURES_PRODUCT 2 0,1
aplikasi tidak recomend kalau nomor ponsel sudah tidak aktif atau ponsel hilang tidak ada pilihan verifikasi melalui gmail	7,9 ACCOUNT_MANAGEMENT 0 11,12	15,16 ONBOARDING_KYC 0 -1,-1
dan sekarang tidak tahu bagaimana caranya mau mengambil uangnya lagi intinya aplikasi ini buruk	-1,-1 FEATURES_PRODUCT 0 13,14
tlng tambahi fitur isi saldo di indomart	2,3 FEATURES_PRODUCT 1 -1,-1	3,5 TRANSACTION_TRANSFER 1 -1,-1
